M01     ,   1     ,   VIN123ABC567    ,   1     ,   TRIPID1
M01     ,   1     ,   VIN888ABC999    ,   1     ,   TRIPID77
M02     ,   1     ,   VIN123ABC567    ,   2     ,   TRIPID1
M02     ,   1     ,   VIN888ABC999    ,   2     ,   TRIPID77
M03     ,   2     ,   VIN123ABC567    ,   3     ,   TRIPID1
M03     ,   2     ,   VIN888ABC999    ,   3     ,   TRIPID77
M04     ,   1     ,   VIN123ABC567    ,   4     ,   TRIPID1
M04     ,   1     ,   VIN888ABC999    ,   4     ,   TRIPID77
M05     ,   1     ,   VIN123ABC567    ,   5     ,   TRIPID1
M05     ,   1     ,   VIN888ABC999    ,   5     ,   TRIPID77
M06     ,   1     ,   VIN123ABC567    ,   6     ,   TRIPID1
M06     ,   1     ,   VIN888ABC999    ,   6     ,   TRIPID77
M07     ,   1     ,   VIN123ABC567    ,   7     ,   TRIPID1
M07     ,   1     ,   VIN888ABC999    ,   7     ,   TRIPID77
M08     ,   1     ,   VIN123ABC567    ,   8     ,   TRIPID1
M08     ,   1     ,   VIN888ABC999    ,   8     ,   TRIPID77
M09     ,   1     ,   VIN123ABC567    ,   9     ,   TRIPID1
M09     ,   1     ,   VIN888ABC999    ,   9     ,   TRIPID77
M10     ,   1     ,   VIN123ABC567    ,   10    ,   TRIPID1
M10     ,   1     ,   VIN888ABC999    ,   10    ,   TRIPID77
M11     ,   1     ,   VIN123ABC567    ,   11    ,   TRIPID1
M11     ,   1     ,   VIN888ABC999    ,   11    ,   TRIPID77
M12     ,   1     ,   VIN123ABC567    ,   12    ,   TRIPID1
M12     ,   1     ,   VIN888ABC999    ,   12    ,   TRIPID77
M13     ,   1     ,   VIN123ABC567    ,   13    ,   TRIPID1
M13     ,   1     ,   VIN888ABC999    ,   13    ,   TRIPID77
M14     ,   1     ,   VIN123ABC567    ,   14    ,   TRIPID1
M14     ,   1     ,   VIN888ABC999    ,   14    ,   TRIPID77
M15     ,   1     ,   VIN123ABC567    ,   15    ,   TRIPID1
M15     ,   1     ,   VIN888ABC999    ,   15    ,   TRIPID77
M16     ,   1     ,   VIN123ABC567    ,   16    ,   TRIPID1
M16     ,   1     ,   VIN888ABC999    ,   16    ,   TRIPID77
M17     ,   1     ,   VIN123ABC567    ,   17    ,   TRIPID1
M17     ,   1     ,   VIN888ABC999    ,   17    ,   TRIPID77
M18     ,   1     ,   VIN123ABC567    ,   18    ,   TRIPID1
M18     ,   1     ,   VIN888ABC999    ,   18    ,   TRIPID77
M19     ,   1     ,   VIN123ABC567    ,   19    ,   TRIPID1
M19     ,   1     ,   VIN888ABC999    ,   19    ,   TRIPID77
M20     ,   1     ,   VIN123ABC567    ,   20    ,   TRIPID1
M20     ,   1     ,   VIN888ABC999    ,   20    ,   TRIPID77
M50     ,   30    ,   VIN123ABC567    ,   50    ,   TRIPID2
M50     ,   30    ,   VIN888ABC999    ,   50    ,   TRIPID81
M51     ,   1     ,   VIN123ABC567    ,   51    ,   TRIPID2
M51     ,   1     ,   VIN888ABC999    ,   51    ,   TRIPID81
M52     ,   3     ,   VIN123ABC567    ,   52    ,   TRIPID2
M52     ,   3     ,   VIN888ABC999    ,   52    ,   TRIPID81
M53     ,   8     ,   VIN123ABC567    ,   53    ,   TRIPID2
M53     ,   8     ,   VIN888ABC999    ,   53    ,   TRIPID81
%%%%    ,   30    ,   VIN888ABC999    ,   103   ,   TRIPID98
%%%%    ,   30    ,   VIN123ABC567    ,   103   ,   TRIPID3
